date,year,month,region,region_label,longitude,latitude,sst_anomaly,enso_phase,source
1997-05,1997,5,central_pacific,Central Pacific,190,0,1.409,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-05,1997,5,nino_34,Nino 3.4,210,0,1.345,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-05,1997,5,eastern_pacific,Eastern Pacific,250,0,0.942,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-06,1997,6,western_pacific,Western Pacific,145,0,0.632,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-06,1997,6,central_pacific,Central Pacific,190,0,1.626,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-06,1997,6,nino_34,Nino 3.4,210,0,1.221,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-06,1997,6,eastern_pacific,Eastern Pacific,250,0,1.050,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-07,1997,7,western_pacific,Western Pacific,145,0,0.091,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-07,1997,7,central_pacific,Central Pacific,190,0,1.746,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-07,1997,7,nino_34,Nino 3.4,210,0,1.574,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-07,1997,7,eastern_pacific,Eastern Pacific,250,0,1.551,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-08,1997,8,western_pacific,Western Pacific,145,0,-0.296,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-08,1997,8,central_pacific,Central Pacific,190,0,1.294,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-08,1997,8,nino_34,Nino 3.4,210,0,1.227,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-08,1997,8,eastern_pacific,Eastern Pacific,250,0,1.637,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-09,1997,9,western_pacific,Western Pacific,145,0,-0.320,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-09,1997,9,central_pacific,Central Pacific,190,0,0.951,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-09,1997,9,nino_34,Nino 3.4,210,0,0.948,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-09,1997,9,eastern_pacific,Eastern Pacific,250,0,0.462,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-10,1997,10,western_pacific,Western Pacific,145,0,-0.380,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-10,1997,10,central_pacific,Central Pacific,190,0,1.591,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-10,1997,10,nino_34,Nino 3.4,210,0,1.308,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-10,1997,10,eastern_pacific,Eastern Pacific,250,0,1.079,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-11,1997,11,western_pacific,Western Pacific,145,0,0.075,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-11,1997,11,central_pacific,Central Pacific,190,0,1.387,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-11,1997,11,nino_34,Nino 3.4,210,0,1.732,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-11,1997,11,eastern_pacific,Eastern Pacific,250,0,1.078,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-12,1997,12,western_pacific,Western Pacific,145,0,0.107,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-12,1997,12,central_pacific,Central Pacific,190,0,1.466,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-12,1997,12,nino_34,Nino 3.4,210,0,1.511,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1997-12,1997,12,eastern_pacific,Eastern Pacific,250,0,0.855,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-01,1998,1,western_pacific,Western Pacific,145,0,-0.140,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-01,1998,1,central_pacific,Central Pacific,190,0,1.373,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-01,1998,1,nino_34,Nino 3.4,210,0,1.296,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-01,1998,1,eastern_pacific,Eastern Pacific,250,0,0.611,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-02,1998,2,western_pacific,Western Pacific,145,0,-0.005,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-02,1998,2,central_pacific,Central Pacific,190,0,1.112,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-02,1998,2,nino_34,Nino 3.4,210,0,0.765,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
